,INICIO,FIN,TIPO / NIVEL,PROVINCIA / POBLACIÓN,CARRETERA,DESCRIPCIÓN
34, 16:17 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545866'], VALENCIA/VALÈNCIA VALENCIA ,  CV-35 ,"   OBSTÁCULO FIJO en:    -  La carretera   CV-35   en el  km 0 en VALENCIA (VALENCIA/VALÈNCIA) hacia tirso de molina,  túnel de decathlon "
35, 15:37 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Verde / 1545724'], LUGO LUGO ,  A-54 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación condicionada  en:    - La AUTOPISTA / AUTOVÍA  A-54   a la altura de LUGO (LUGO) desde el  km 5 al  km 15 sentido AMBOS SENTIDOS 
36, 15:33 30/03/2018 ,  ,['OTROS / Nivel Verde / 1545523'], VALENCIA/VALÈNCIA SALER (EL) ,  CV-500 ,   DESVÍO OPERATIVO por CIRCULACIÓN con circulación condicionada  en CV-500:    -  La carretera   CV-500   a la altura de SALER (EL) (VALENCIA/VALÈNCIA) desde el  km 8.5 al  km 6.5 sentido CRECIENTE DE LA KILOMETRACIÓN hacia VALENCIA Advertencia: TRANSITABLE CON PRECAUCIÓN 
37, 15:29 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Verde / 1545800'], LUGO CHANTADA ,  CG-2.1 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación condicionada  en:    - La CARRETERA AUTONÓMICA  CG-2.1   a la altura de CHANTADA (LUGO) desde el  km 40 al  km 46 sentido AMBOS SENTIDOS Advertencia: TRANSITABLE CON PRECAUCIÓN 
38, 15:14 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Verde / 1545685'], LUGO LUGO ,  N-540 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación condicionada  en:    - La AUTOPISTA / AUTOVÍA  N-540   desde el  km 5  en LUGO (LUGO) al  km 25 en GUNTIN DE PALLARES (LUGO) sentido AMBOS SENTIDOS Advertencia: TRANSITABLE CON PRECAUCIÓN 
39, 15:05 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545849'], CASTELLÓN/CASTELLÓ ZORITA DEL MAESTRAZGO ,  CV-14 ,   OBSTÁCULO FIJO en:    -  La carretera   CV-14   en el  km 24.883 en ZORITA DEL MAESTRAZGO (CASTELLÓN/CASTELLÓ) 
40, 14:52 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545949'], ALICANTE/ALACANT REALENGO (EL) ,  AP-7 ,   OBSTÁCULO FIJO en:    -  La carretera   AP-7   en el  km 727.027 en REALENGO (EL) (ALICANTE/ALACANT) hacia Alicante/ altura de El Realengo. 
41, 14:45 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Amarillo / 1545948'], LUGO CADAVO (O) ,  LU-530 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación irregular  en:    -  La carretera   LU-530   desde el  km 25  en CADAVO (O) (LUGO) al  km 58 en FONSAGRADA (A) (LUGO) sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS 
42, 14:33 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Verde / 1545946'], LEÓN VILLAGATON ,  A-6 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación condicionada  en:    -  La carretera   A-6   a la altura de VILLAGATON (LEÓN) desde el  km 350 al  km 340 sentido AMBOS SENTIDOS Advertencia: TRANSITABLE CON PRECAUCIÓN 
43, 14:25 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Verde / 1545165'], ZAMORA RIONEGRO DEL PUENTE ,  A-52 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación condicionada  en:    - La AUTOPISTA / AUTOVÍA  A-52   desde el  km 45  en RIONEGRO DEL PUENTE (ZAMORA) al  km 112 en LUBIAN (ZAMORA) sentido AMBOS SENTIDOS Advertencia: TRANSITABLE CON PRECAUCIÓN 
44, 14:15 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Rojo / 1545820'], LEÓN SAN EMILIANO ,  LE-481 ,"   NEVADA por METEOROLOGÍA ADVERSA con circulación difícil  en VENTANA:    -  La carretera   LE-481   a la altura de SAN EMILIANO (LEÓN) desde el  km 11 al  km 15 sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS, PROHIBIDO AUTOBUSES, OBLIGATORIO CADENAS O NEUMÁTICOS DE INVIERNO "
45, 14:00 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545738'], ALICANTE/ALACANT ESTACION (LA) ,  A-7 ,   OBSTÁCULO FIJO en:    -  La carretera   A-7   en el  km 524.962 en ESTACION (LA) (ALICANTE/ALACANT) hacia murcia 
46, 13:50 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545734'], CASTELLÓN/CASTELLÓ MASIA DE CLERIG ,  CV-170 ,"   OBSTÁCULO FIJO en:    -  La carretera   CV-170   en el  km 21.857 en MASIA DE CLERIG (CASTELLÓN/CASTELLÓ) hacia vistabella, a unos 5km antes de llegar a vistabella "
47, 13:43 30/03/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Negro / 1545495'], ASTURIAS MONTEFURADO ,  AS-14 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación interrumpida  en EL PALO:    - PUERTO DE MONTAÑA de la carretera   AS-14   a la altura de MONTEFURADO (ASTURIAS) desde el  km 25 al  km 39 sentido AMBOS SENTIDOS Advertencia: INTRANSITABLE 
48, 13:37 30/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1545708'], SANTA CRUZ DE TENERIFE PUERTITO DE GÜIMAR ,  TF-1 ,   RETENCIÓN / CONGESTIÓN por CONGESTIÓN con circulación irregular  en:    - La AUTOPISTA / AUTOVÍA  TF-1   desde el  km 23  en PUERTITO DE GÜIMAR (SANTA CRUZ DE TENERIFE) al  km 10 en TABAIBA (SANTA CRUZ DE TENERIFE) sentido CRECIENTE DE LA KILOMETRACIÓN hacia SANTIAGO DEL TEIDE 
49, 13:35 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545832'], ALICANTE/ALACANT PLA DE SANT JOSEP ,  N-340 ,   OBSTÁCULO FIJO en:    -  La carretera   N-340   en el  km 713.735 en PLA DE SANT JOSEP (ALICANTE/ALACANT) 
50, 13:28 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Verde / 1545830'], OURENSE MEZQUITA (A) ,  A-52 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación condicionada  en:    - La AUTOPISTA / AUTOVÍA  A-52   a la altura de MEZQUITA (A) (OURENSE) desde el  km 113 al  km 143 sentido AMBOS SENTIDOS Advertencia: TRANSITABLE CON PRECAUCIÓN 
51, 13:25 30/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1545715'], SANTA CRUZ DE TENERIFE REALEJOS (LOS) ,  TF-5 ,   RETENCIÓN / CONGESTIÓN por CONGESTIÓN con circulación irregular  en:    - La CARRETERA AUTONÓMICA  TF-5   desde el  km 39.5  en REALEJOS (LOS) (SANTA CRUZ DE TENERIFE) al  km 49 en SANTA CATALINA (SANTA CRUZ DE TENERIFE) sentido CRECIENTE DE LA KILOMETRACIÓN hacia EL TANQUE 
52, 13:22 30/03/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Verde / 1545743'], ÁVILA SANTIAGO DEL COLLADO ,  AV-932 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación condicionada  en PEÑA NEGRA:    - PUERTO DE MONTAÑA de la carretera   AV-932   desde el  km 9  en SANTIAGO DEL COLLADO (ÁVILA) al  km 21 en HERGUIJUELA (ÁVILA) sentido AMBOS SENTIDOS 
53, 13:17 30/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1545736'], SANTA CRUZ DE TENERIFE SANTIAGO DEL TEIDE ,  TF-82 ,   RETENCIÓN / CONGESTIÓN por CONGESTIÓN con circulación irregular  en:    - La CARRETERA AUTONÓMICA  TF-82   desde el  km 21  en SANTIAGO DEL TEIDE (SANTA CRUZ DE TENERIFE) al  km 13 en RUIGOMEZ (SANTA CRUZ DE TENERIFE) sentido CRECIENTE DE LA KILOMETRACIÓN hacia ARMEÑIME 
54, 13:15 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Amarillo / 1545518'], LEÓN POLA DE GORDON (LA) ,  LE-473 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación irregular  en LE-473:    - La CARRETERA PROVINCIAL  LE-473   a la altura de POLA DE GORDON (LA) (LEÓN) desde el  km 8 al  km 9 sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS 
55, 13:15 30/03/2018 ,  ,['OTROS / Nivel Amarillo / 1545827'], ASTURIAS DUYOS ,  AS-260 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación irregular  en AS-263:    - La CARRETERA AUTONÓMICA  AS-260   en el  km 7.2 en DUYOS (ASTURIAS) sentido CRECIENTE DE LA KILOMETRACIÓN Advertencia: ARCÉN CERRADO 
56, 13:14 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Amarillo / 1545520'], LEÓN PIEDRAFITA DE BABIA ,  LE-495 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación irregular  en:    - La CARRETERA AUTONÓMICA  LE-495   a la altura de PIEDRAFITA DE BABIA (LEÓN) desde el  km 0 al  km 9.82 sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS 
57, 13:14 30/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1545711'], SANTA CRUZ DE TENERIFE GUAZA ,  TF-1 ,   RETENCIÓN / CONGESTIÓN por ACCIDENTE con circulación irregular  en:    - La AUTOPISTA / AUTOVÍA  TF-1   desde el  km 69  en GUAZA (SANTA CRUZ DE TENERIFE) al  km 48.5 en CHIMICHE (SANTA CRUZ DE TENERIFE) sentido CRECIENTE DE LA KILOMETRACIÓN hacia SANTIAGO DEL TEIDE 
58, 13:13 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Amarillo / 1545521'], LEÓN PIEDRAFITA DE BABIA ,  LE-497 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación irregular  en:    - La CARRETERA AUTONÓMICA  LE-497   a la altura de PIEDRAFITA DE BABIA (LEÓN) desde el  km 0 al  km 10.4 sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS 
59, 13:11 30/03/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Amarillo / 1540735'], LEÓN PUEBLA DE LILLO ,  LE-333 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación irregular  en PUERTO DE LAS SEÑALES:    - PUERTO DE MONTAÑA de la carretera   LE-333   desde el  km 3  en PUEBLA DE LILLO (LEÓN) al  km 14.4 en COFIÑAL (LEÓN) sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS 
60, 12:56 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Verde / 1545581'], LUGO MURAS ,  LU-540 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación condicionada  en:    - La CARRETERA AUTONÓMICA  LU-540   a la altura de MURAS (LUGO) desde el  km 22 al  km 28 sentido AMBOS SENTIDOS Advertencia: TRANSITABLE CON PRECAUCIÓN 
61, 12:36 30/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1545721'], SANTA CRUZ DE TENERIFE SANTA MARIA DEL MAR ,  TF-2 ,   RETENCIÓN / CONGESTIÓN por ACCIDENTE con circulación irregular  en:    - La AUTOPISTA / AUTOVÍA  TF-2   desde el  km 0  en SANTA MARIA DEL MAR (SANTA CRUZ DE TENERIFE) al  km 1.5 en DRAGUILLO (EL) (SANTA CRUZ DE TENERIFE) sentido DECRECIENTE DE LA KILOMETRACIÓN hacia TF-1 
62, 12:04 30/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1545712'], SANTA CRUZ DE TENERIFE REALEJOS (LOS) ,  TF-5 ,   RETENCIÓN / CONGESTIÓN por CONGESTIÓN con circulación irregular  en:    - La AUTOPISTA / AUTOVÍA  TF-5   a la altura de REALEJOS (LOS) (SANTA CRUZ DE TENERIFE) desde el  km 39.5 al  km 38 sentido CRECIENTE DE LA KILOMETRACIÓN hacia EL TANQUE 
63, 12:00 30/03/2018 , 15:00 01/04/2018 ,['EVENTOS / Nivel Rojo / 1508734']," BALEARS, ILLES SANT JOAN DE LABRITJA ",  EI-321 ,"   ACTIVIDADES DEPORTIVAS (CARRERA CICLISTA) por ACONTECIMIENTO DEPORTIVO con circulación difícil  en:    - La CARRETERA  EI-321   en el  km 0 en SANT JOAN DE LABRITJA (BALEARS, ILLES) sentido AMBOS SENTIDOS  - La CARRETERA  EI-200   en el  km 0 en SANT JOAN DE LABRITJA (BALEARS, ILLES) sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL "
64, 11:48 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Rojo / 1545442'], LUGO PEDRAFITA DO CEBREIRO ,  LU-633 ,"   NEVADA por METEOROLOGÍA ADVERSA con circulación difícil  en:    - La CARRETERA AUTONÓMICA  LU-633   desde el  km 0  en PEDRAFITA DO CEBREIRO (LUGO) al  km 20 en TRIACASTELA (LUGO) sentido AMBOS SENTIDOS Advertencia: TRANSITABLE CON PRECAUCIÓN, PROHIBIDO CAMIONES Y ARTICULADOS, PROHIBIDO AUTOBUSES, OBLIGATORIO CADENAS O NEUMÁTICOS DE INVIERNO "
65, 11:21 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Verde / 1545754'], ALMERÍA ADRA ,  A-7 ,   VIENTO RACHEADO por METEOROLOGÍA ADVERSA con circulación condicionada  en:    -  La carretera   A-7   desde el  km 390  en ADRA (ALMERÍA) al  km 470 en ALMERIA (ALMERÍA) sentido AMBOS SENTIDOS 
66, 11:18 30/03/2018 , 19:00 31/03/2018 ,['OTROS / Nivel Amarillo / 1534674'], SANTA CRUZ DE TENERIFE TACORONTE ,  TF-228 ,   CARRETERA CERRADA INTERMITENTEMENTE por OBRAS con circulación irregular  en:    -  La carretera   TF-228   a la altura de TACORONTE (SANTA CRUZ DE TENERIFE) desde el  km 0 al  km 3.1 sentido AMBOS SENTIDOS 
67, 10:12 30/03/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Negro / 1545647'], ASTURIAS BUSTANTIGO ,  AS-364 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación interrumpida  en LA MARTA:    - PUERTO DE MONTAÑA de la carretera   AS-364   a la altura de BUSTANTIGO (ASTURIAS) desde el  km 0.1 al  km 50 sentido AMBOS SENTIDOS Advertencia: INTRANSITABLE 
68, 09:21 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Rojo / 1545512'], LEÓN BESANDE ,  LE-233 ,"   NEVADA por METEOROLOGÍA ADVERSA con circulación difícil  en:    - La CARRETERA PROVINCIAL  LE-233   a la altura de BESANDE (LEÓN) desde el  km 0 al  km 8.5 sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS, PROHIBIDO AUTOBUSES, OBLIGATORIO CADENAS O NEUMÁTICOS DE INVIERNO "
69, 09:14 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1545616'], LEÓN ENCINEDO ,  LE-126 ,"   NEVADA por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   LE-126   a la altura de ENCINEDO (LEÓN) desde el  km 60 al  km 67 sentido AMBOS SENTIDOS Advertencia: VISIBILIDAD REDUCIDA, FIRME EN MALAS CONDICIONES, INTRANSITABLE "
