,INICIO,FIN,TIPO / NIVEL,PROVINCIA / POBLACIÓN,CARRETERA,DESCRIPCIÓN
28, 13:17 11/03/2018 ,  ,['OTROS / Nivel Verde / 1526996'], BARCELONA CERCS ,  C-16 ,   DESCONOCIDA por RESTRICCIONES IMPUESTAS EN LA CALZADA con circulación condicionada  en:    -  La carretera   C-16   a la altura de CERCS (BARCELONA) desde el  km 103.4 al  km 101.1 sentido SUR hacia BERGA 
29, 09:32 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Amarillo / 1533835'], BARCELONA GUARDIOLA DE BERGUEDA ,  BV-4024 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación irregular  en:    -  La carretera   BV-4024   a la altura de GUARDIOLA DE BERGUEDA (BARCELONA) desde el  km 17 al  km 21 sentido AMBOS SENTIDOS 
30, 17:00 28/02/2018 ,  ,['METEOROLÓGICO / Nivel Amarillo / 1518370'], BARCELONA LES MASIES DE VOLTREGÀ ,  C-17 ,   NIEBLA por METEOROLOGÍA ADVERSA con circulación irregular  en:    -  La carretera   C-17   a la altura de LES MASIES DE VOLTREGÀ (BARCELONA) desde el  km 75 al  km 95 sentido AMBOS SENTIDOS 
31, 02:43 12/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1527448'], BARCELONA MANRESA ,  C-25 ,   RETENCIÓN / CONGESTIÓN por ACCIDENTE con circulación irregular  en:    -  La carretera   C-25   a la altura de MANRESA (BARCELONA) desde el  km 131 al  km 130 sentido OESTE hacia GIRONA-UN CARRIL TALLAT 
32, 19:57 14/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Verde / 1530511'], BARCELONA MONTCADA I REIXAC ,  C-58 ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación condicionada  en:    -  La carretera   C-58   a la altura de MONTCADA I REIXAC (BARCELONA) desde el  km 0 al  km 1 sentido SUR hacia BARCELONA - NUS TRINITAT 
33, 23:37 26/02/2018 ,  ,['METEOROLÓGICO / Nivel Rojo / 1517643'], BARCELONA SANT JULIA DE VILATORTA ,  C-25 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación difícil  en:    -  La carretera   C-25   a la altura de SANT JULIA DE VILATORTA (BARCELONA) desde el  km 225 al  km 237 sentido AMBOS SENTIDOS 
34, 17:24 15/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1531676'], BARCELONA SANT QUIRZE DE BESORA ,  C-58 ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular  en:    -  La carretera   C-58   a la altura de SANT QUIRZE DE BESORA (BARCELONA) desde el  km 14 al  km 17 sentido SUR hacia BARCELONA 
35, 07:08 21/02/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1513070'], BARCELONA SANT QUIRZE DEL VALLES ,  C-58 ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular  en:    -  La carretera   C-58   a la altura de SANT QUIRZE DEL VALLES (BARCELONA) desde el  km 14 al  km 16 sentido SUR hacia BARCELONA 
36, 16:59 26/02/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1517439'], BARCELONA SANT QUIRZE DEL VALLES ,  C-58 ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular  en:    -  La carretera   C-58   a la altura de SANT QUIRZE DEL VALLES (BARCELONA) desde el  km 14 al  km 16 sentido SUR hacia BARCELONA 
37, 18:25 25/02/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1516626'], BARCELONA SANT QUIRZE DEL VALLES ,  C-58 ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular  en:    -  La carretera   C-58   a la altura de SANT QUIRZE DEL VALLES (BARCELONA) desde el  km 143 al  km 16 sentido SUR hacia BARCELONA 
38, 07:01 18/03/2018 ,  ,['OTROS / Nivel Negro / 1505230'], BIZKAIA LARRABETZU ,  BI-3102 ,   OBSTÁCULO FIJO con circulación interrumpida  en:    -  La carretera   BI-3102   en el  km 26 en LARRABETZU (BIZKAIA) hacia ASTOREKA 
39, 07:01 18/03/2018 ,  ,['OTROS / Nivel Rojo / 1495464'], BIZKAIA  ,  BI-3950 ,   OBSTÁCULO FIJO con circulación difícil  en:    -  La carretera   BI-3950   en el  km 55 en  (BIZKAIA) hacia EIBAR 
40, 07:01 18/03/2018 ,  ,['OTROS / Nivel Negro / 1503965'], BIZKAIA  ,  BI-3152 ,   OBSTÁCULO FIJO con circulación interrumpida  en:    -  La carretera   BI-3152   en el  km 42 en  (BIZKAIA) hacia ARMINTZA 
41, 17:50 02/03/2018 ,  ,['OTROS / Nivel Amarillo / 1521144'], BURGOS CRIALES ,  BU-550 ,"   CARRIL(ES) DERECHO(S) CERRADO(S) por DESPRENDIMIENTOS con circulación irregular  en:    - La CARRETERA  BU-550   en el  km 12.8 en CRIALES (BURGOS) sentido CRECIENTE DE LA KILOMETRACIÓN Advertencia: UN SOLO CARRIL CON TRÁFICO ALTERNADO, CARRIL DERECHO CERRADO "
42, 09:08 17/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1533427'], CÁCERES HERVAS ,  CC-102 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    - La CARRETERA LOCAL  CC-102   desde el  km 0  en HERVAS (CÁCERES) al  km 32.5 en CABEZUELA DEL VALLE (CÁCERES) sentido AMBOS SENTIDOS Advertencia: INTRANSITABLE 
43, 11:03 10/03/2018 ,  ,['OTROS / Nivel Negro / 1522691'], CÁCERES MESAS DE IBOR ,  CC-19.3 ,   OBSTÁCULO FIJO por INUNDACIONES con circulación interrumpida  en:    - La CARRETERA LOCAL  CC-19.3   a la altura de MESAS DE IBOR (CÁCERES) desde el  km 2.8 al  km 3.3 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
44, 01:05 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1533791'], CÁDIZ ARCOS DE LA FRONTERA ,  CA-5101 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   CA-5101   a la altura de ARCOS DE LA FRONTERA (CÁDIZ) desde el  km 2.9 al  km 3.1 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
45, 00:00 01/01/2018 , 23:59 31/12/2018 ,['RESTRICCIONES / Nivel Gris / 1416626'], CÁDIZ CADIZ ,  CA-36 ,   RESTRICCIONES A MERCANCÍAS PELIGROSAS por CIRCULACIÓN en Puente José León de Carranza:    -  La carretera   CA-36   a la altura de CADIZ (CÁDIZ) desde el  km 2.3 al  km 6 sentido AMBOS SENTIDOS 
46, 13:48 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1534039'], CÁDIZ CASTELLAR DE LA FRONTERA ,  A-2102 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   A-2102   a la altura de CASTELLAR DE LA FRONTERA (CÁDIZ) desde el  km 3 al  km 4 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
47, 11:38 11/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1527002'], CÁDIZ GASTOR (EL) ,  A-374 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   A-374   a la altura de GASTOR (EL) (CÁDIZ) desde el  km 6.3 al  km 11.5 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
48, 12:08 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1533971'], CÁDIZ JEREZ DE LA FRONTERA ,  CA-3113 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   CA-3113   a la altura de JEREZ DE LA FRONTERA (CÁDIZ) desde el  km 13.5 al  km 17.5 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
49, 19:53 08/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1525035'], CÁDIZ JEREZ DE LA FRONTERA ,  CA-6108 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   CA-6108   en el  km 8 en JEREZ DE LA FRONTERA (CÁDIZ) sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
50, 04:45 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1533812'], CÁDIZ JIMENA DE LA FRONTERA ,  CA-8200 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   CA-8200   en el  km 7 en JIMENA DE LA FRONTERA (CÁDIZ) sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
51, 04:41 18/03/2018 ,  ,['OTROS / Nivel Negro / 1533866'], CÁDIZ JIMENA DE LA FRONTERA ,  CA-8201 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   CA-8201   a la altura de JIMENA DE LA FRONTERA (CÁDIZ) desde el  km 5.5 al  km 0.3 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
52, 07:34 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1533880'], CÁDIZ JIMENA DE LA FRONTERA ,  CA-9200 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   CA-9200   a la altura de JIMENA DE LA FRONTERA (CÁDIZ) desde el  km 0 al  km 2.8 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
53, 15:00 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1533813'], CÁDIZ JIMENA DE LA FRONTERA ,  A-2101 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   A-2101   a la altura de JIMENA DE LA FRONTERA (CÁDIZ) desde el  km 0 al  km 7.5 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
54, 07:48 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1533885'], CÁDIZ JIMENA DE LA FRONTERA ,  A-2100 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   A-2100   a la altura de JIMENA DE LA FRONTERA (CÁDIZ) desde el  km 0 al  km 13.1 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
55, 08:47 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1533892'], CÁDIZ OLVERA ,  CA-9120 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   CA-9120   a la altura de OLVERA (CÁDIZ) desde el  km 0 al  km 8 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
56, 20:57 04/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1521307'], CÁDIZ OLVERA ,  CA-9101 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   CA-9101   a la altura de OLVERA (CÁDIZ) desde el  km 0 al  km 11 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
57, 11:17 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1533912'], CÁDIZ PATERNA DE RIVERA ,  CA-4107 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   CA-4107   a la altura de PATERNA DE RIVERA (CÁDIZ) desde el  km 1.5 al  km 5 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
58, 19:13 17/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1533711'], CÁDIZ VILLAMARTIN ,  CA-6105 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   CA-6105   a la altura de VILLAMARTIN (CÁDIZ) desde el  km 0 al  km 15 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
59, 15:20 08/03/2018 ,  ,['OTROS / Nivel Negro / 1524712'], CÁDIZ ZAHARA ,  CA-9104 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   CA-9104   en el  km 14 en ZAHARA (CÁDIZ) sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
60, 07:34 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1533879'], CÁDIZ ZAHARA ,  A-2300 ,   LLUVIA por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   A-2300   a la altura de ZAHARA (CÁDIZ) desde el  km 7.8 al  km 17 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
61, 18:02 06/03/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Negro / 1361025'], CANTABRIA CONCHA (LA) ,  CA-643 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación interrumpida  en PUERTO DE LUNADA:    - PUERTO DE MONTAÑA de la carretera   CA-643   a la altura de CONCHA (LA) (CANTABRIA) desde el  km 5 al  km 14.3 sentido AMBOS SENTIDOS Advertencia: INTRANSITABLE 
62, 00:30 18/03/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Rojo / 1533856'], CANTABRIA YERA ,  CA-631 ,"   NEVADA por METEOROLOGÍA ADVERSA con circulación difícil  en ESTACAS DE TRUEBA:    - PUERTO DE MONTAÑA de la carretera   CA-631   a la altura de YERA (CANTABRIA) desde el  km 5 al  km 14.3 sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS, PROHIBIDO AUTOBUSES, OBLIGATORIO CADENAS O NEUMÁTICOS DE INVIERNO "
63, 20:07 18/03/2018 ,  ,['OTROS / Nivel Gris / 1534247'], CASTELLÓN/CASTELLÓ IBARSOS (ELS) ,  CV-15 ,   OBSTÁCULO FIJO en:    -  La carretera   CV-15   en el  km 16.585 en IBARSOS (ELS) (CASTELLÓN/CASTELLÓ) hacia albocasser 
64, 20:39 18/03/2018 ,  ,['OTROS / Nivel Gris / 1534258'], CASTELLÓN/CASTELLÓ MONTEMOLINO ,  N-340 ,   OBSTÁCULO FIJO en:    -  La carretera   N-340   en el  km 986.997 en MONTEMOLINO (CASTELLÓN/CASTELLÓ) hacia castellon a 1km de la salida de benicassim 
65, 10:35 18/03/2018 ,  ,['OTROS / Nivel Negro / 1533901'], CÓRDOBA AGUILAR DE LA FRONTERA ,  CO-5211 ,   OBSTÁCULO FIJO por INUNDACIONES con circulación interrumpida  en:    -  La carretera   CO-5211   a la altura de AGUILAR DE LA FRONTERA (CÓRDOBA) desde el  km 2 al  km 11.7 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
66, 07:59 15/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1531023'], CÓRDOBA CAÑETE DE LAS TORRES ,  A-3125 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   A-3125   en el  km 17.4 en CAÑETE DE LAS TORRES (CÓRDOBA) sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
67, 07:30 18/03/2018 ,  ,['OTROS / Nivel Rojo / 1533957'], CÓRDOBA CORDOBA ,  A-4 ,   SALIDA CERRADA por INUNDACIONES con circulación difícil  en SALIDA 383. ALCOLEA:    - SALIDA de la carretera   A-4   en el  km 383 en CORDOBA (CÓRDOBA) sentido DECRECIENTE DE LA KILOMETRACIÓN hacia MADRID Advertencia: CORTE TOTAL 
68, 13:47 15/03/2018 ,  ,['OTROS / Nivel Verde / 1531511'], CUENCA CAÑAVERAS ,  CM-310 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación condicionada  en:    -  La carretera   CM-310   en el  km 132 en CAÑAVERAS (CUENCA) sentido CRECIENTE DE LA KILOMETRACIÓN Advertencia: TRANSITABLE CON PRECAUCIÓN 
69, 07:01 18/03/2018 ,  ,['OTROS / Nivel Rojo / 1489703'], GIPUZKOA GETARIA ,  N-634 ,   OBSTÁCULO FIJO con circulación difícil  en:    -  La carretera   N-634   en el  km 26 en GETARIA (GIPUZKOA) hacia SANTANDER 
70, 07:01 18/03/2018 ,  ,['OTROS / Nivel Rojo / 1462657'], GIPUZKOA  ,  GI-2630 ,   OBSTÁCULO FIJO con circulación difícil  en:    -  La carretera   GI-2630   en el  km 8 en  (GIPUZKOA) hacia URRETXU 
71, 20:14 26/02/2018 ,  ,['METEOROLÓGICO / Nivel Verde / 1517362'], GIRONA SANTA COLOMA DE FARNERS ,  C-25 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación condicionada  en:    -  La carretera   C-25   a la altura de SANTA COLOMA DE FARNERS (GIRONA) desde el  km 221 al  km 229 sentido AMBOS SENTIDOS 
